anomaly_id,entity_type,entity_code,anomaly_type,severity,description
e0ab3767-e58b-4252-aa25-1954f9f71011,transaction,T00100001,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
b2e781bb-e19e-4f7a-96f2-286bb88e8a02,transaction,T00100002,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
025f055b-ab92-42af-aac2-d95a0ef49c7b,transaction,T00100003,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
6a09c026-516b-41cd-95eb-5d732327127b,transaction,T00100004,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
0ddd2faf-82d8-4716-a162-db2a1ba6d37b,transaction,T00100005,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
413a2067-e5c2-4ff4-97f5-92bc633817f1,transaction,T00100006,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
bf2488be-3baa-49d8-81cd-89e1833e8948,transaction,T00100007,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
bc47bbed-1dd3-4407-bc5a-f9c585b85f5a,transaction,T00100008,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
53739c53-ad1c-433a-ace9-4dca250cc864,transaction,T00100009,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
2a42d5ce-62b2-4825-84d7-b934b71e3f03,transaction,T00100010,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
018075e8-57c9-40f5-96c7-7e3afdc9439f,transaction,T00100011,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
05ca216d-1e58-41ed-80ba-5db76f4fa714,transaction,T00100012,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
25b7326e-3815-49d0-9127-df9cfd249c44,transaction,T00100013,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
bc119e53-754d-4586-bd30-26831f064c91,transaction,T00100014,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
d9f4328e-d548-4f19-9a0f-c8372d5bbc97,transaction,T00100015,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
389de9c4-abc0-4498-9ae2-f951b2ecede3,transaction,T00100016,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
6d987edd-2de3-4568-88b6-15ab1f476852,transaction,T00100017,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
3c7c4191-6155-43eb-b75c-ec6843eb7252,transaction,T00100018,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
91daabd2-511c-4d89-8430-c95585778231,transaction,T00100019,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
a448a2c2-f06f-4ce8-812d-320d878fe683,transaction,T00100020,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
e99dc2fa-756f-4df9-aff9-96027ba05af6,transaction,T00100021,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
aa03ddd3-35f5-4287-8078-e816c3191945,transaction,T00100022,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
25055973-52d3-4da1-b8a2-92954d55e200,transaction,T00100023,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
6be34598-b4dd-4e86-aebd-a57170690029,transaction,T00100024,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
cb958ddb-f14f-494a-ab6e-999bb226fe7e,transaction,T00100025,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
91136114-65d6-4ecb-9d9c-1f241a5a48be,transaction,T00100026,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
cb71bef1-6289-4476-950c-66c58278b24a,transaction,T00100027,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
2c8f507a-b77f-43a8-bdeb-81a0867589bd,transaction,T00100028,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
9ed8937c-0ece-4304-af24-d3511c471258,transaction,T00100029,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
8c8ca10f-8ed9-41a6-9a7b-5df3f3731074,transaction,T00100030,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
bb2916dc-a83b-42b5-8e25-c4ae0f69bacf,transaction,T00100031,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
2e604ebc-4d67-4071-b979-9ec040fd398a,transaction,T00100032,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
1c402f6a-daa4-4c18-8de7-d18e9fb6e161,transaction,T00100033,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
bdddf81f-977a-4711-bb09-3cdb60dc0e23,transaction,T00100034,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
2c912e0b-16a2-4e54-bed5-fc7ac488744e,transaction,T00100035,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
056eab02-2ca9-4ce1-a6ed-abdccf79931e,transaction,T00100036,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
5eec04b4-24ac-488b-b61a-ea5b43e6a826,transaction,T00100037,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
034c4eb5-a5ca-4657-8e49-4e7f9864e4b7,transaction,T00100038,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
2ed0edc2-a14d-4a9c-891a-08bbeb04324a,transaction,T00100039,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
309ea90a-5ed3-4d6e-85c4-f87fff289741,transaction,T00100040,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
dffada4f-b31c-4a41-8415-5248cbc0bc39,transaction,T00100041,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
edc21e41-7385-4dc3-b6dc-43247d089680,transaction,T00100042,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
6078cbc5-13a5-4dc6-bc68-9c14ceee0029,transaction,T00100043,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
329e84dd-2061-43a2-b694-6b8b200d3256,transaction,T00100044,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
1c14ecd7-6dbd-4132-b22a-08aa60ae7685,transaction,T00100045,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
23b75c06-2231-4dd4-a3ed-5035e5dbda2f,transaction,T00100046,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
5ed98bcc-a2d7-4ef4-9f09-cf8216c50cf6,transaction,T00100047,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
b1f5f157-3921-4acb-a92a-1a642382e6d5,transaction,T00100048,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
2c87692d-a2e4-4504-a58b-b4da03d160cc,transaction,T00100049,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
6ff36625-7929-4599-ac17-3f43da4888df,transaction,T00100050,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
8486dacc-20ab-4be6-9c6d-69c24197475d,transaction,T00100051,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
48e7df00-5cf6-4fe5-8da7-8a15a7f6fa30,transaction,T00100052,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
628016d0-8e8f-408b-8e42-6d5851050ba6,transaction,T00100053,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
54b416b9-34e2-4ce7-88a7-ee4af7a19046,transaction,T00100054,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
45324174-155a-44ef-b3dd-146dabbb0f2f,transaction,T00100055,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
cc2c115f-90cb-4d3d-9f14-a008cfb058a4,transaction,T00100056,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
cd5229b3-cccd-4289-86bd-ca239cb1edc8,transaction,T00100057,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
41364af5-79b2-491b-b8e1-93a95f890136,transaction,T00100058,HIGH_TRANSACTION_AMOUNT,high,Transaction amount is significantly higher than normal behavioral range.
