log_code,user_code,event_timestamp,ip_address,resource,action,status,location,device_type,session_id,failure_reason
L00000001,U00678,2026-06-19T21:08:10.350239+00:00,10.10.9.243,Documents,VIEW,success,Delhi,mobile,S181870,
L00000002,U00242,2026-06-17T01:39:33.350259+00:00,10.10.10.137,Dashboard,DOWNLOAD,success,Delhi,mobile,S508937,
L00000003,U00642,2026-06-28T00:28:31.350270+00:00,10.10.18.2,Profile,DOWNLOAD,success,Pune,tablet,S150764,
L00000004,U00402,2026-07-19T21:52:25.350280+00:00,10.10.16.138,Dashboard,DOWNLOAD,success,Delhi,desktop,S496137,
L00000005,U00215,2026-07-15T00:36:38.350289+00:00,10.10.12.84,Documents,DOWNLOAD,success,Chennai,laptop,S466069,
L00000006,U00505,2026-08-04T15:32:57.350298+00:00,10.10.5.30,Profile,READ,success,Ahmedabad,laptop,S376872,
L00000007,U00498,2026-06-30T08:34:58.350307+00:00,10.10.5.153,Profile,VIEW,success,Chennai,desktop,S906672,
L00000008,U00353,2026-07-05T05:01:50.350315+00:00,10.10.11.181,Reports,READ,success,Kolkata,mobile,S376858,
L00000009,U00380,2026-07-26T07:24:33.350322+00:00,10.10.11.21,Transactions,READ,success,Bangalore,tablet,S389662,
L00000010,U00852,2026-08-31T15:02:28.350331+00:00,10.10.19.224,Dashboard,READ,success,Pune,tablet,S363501,
L00000011,U00413,2026-07-19T11:15:33.350340+00:00,10.10.10.88,Transactions,DOWNLOAD,success,Bangalore,laptop,S479415,
L00000012,U00891,2026-08-10T05:47:34.350348+00:00,10.10.6.218,Profile,VIEW,success,Delhi,laptop,S983475,
L00000013,U00130,2026-06-21T00:37:07.350357+00:00,10.10.2.6,Reports,READ,success,Kolkata,mobile,S951596,
L00000014,U00601,2026-07-16T07:11:57.350364+00:00,10.10.11.199,Profile,DOWNLOAD,success,Hyderabad,desktop,S532312,
L00000015,U00447,2026-06-16T08:26:57.350375+00:00,10.10.2.172,Reports,READ,success,Ahmedabad,laptop,S700808,
L00000016,U00679,2026-07-13T09:18:38.350383+00:00,10.10.13.30,Reports,VIEW,success,Mumbai,tablet,S600227,
L00000017,U00618,2026-06-08T21:54:34.350391+00:00,10.10.9.66,Documents,DOWNLOAD,success,Chennai,laptop,S641966,
L00000018,U00031,2026-08-07T01:39:57.350399+00:00,10.10.1.115,Documents,READ,success,Pune,tablet,S432598,
L00000019,U00519,2026-07-27T07:14:49.350407+00:00,10.10.13.220,Documents,READ,success,Pune,tablet,S540255,
L00000020,U00310,2026-07-10T20:01:55.350415+00:00,10.10.2.40,Profile,DOWNLOAD,success,Bangalore,tablet,S997146,
L00000021,U00504,2026-07-20T05:27:46.350422+00:00,10.10.16.142,Documents,DOWNLOAD,success,Ahmedabad,desktop,S834218,
L00000022,U00833,2026-07-03T14:52:47.350430+00:00,10.10.8.46,Dashboard,READ,success,Delhi,desktop,S438796,
L00000023,U00491,2026-07-05T06:56:36.350438+00:00,10.10.3.155,Reports,DOWNLOAD,success,Ahmedabad,mobile,S662840,
L00000024,U00934,2026-06-30T03:48:04.350446+00:00,10.10.9.245,Transactions,VIEW,success,Delhi,laptop,S293816,
L00000025,U00708,2026-07-02T07:27:33.350454+00:00,10.10.18.99,Documents,DOWNLOAD,success,Delhi,desktop,S118627,
L00000026,U00062,2026-09-03T22:44:12.350461+00:00,10.10.17.109,Reports,DOWNLOAD,success,Pune,laptop,S185666,
L00000027,U00482,2026-08-06T15:40:07.350470+00:00,10.10.12.218,Reports,READ,success,Bangalore,desktop,S133850,
L00000028,U00219,2026-07-21T02:43:59.350478+00:00,10.10.2.34,Dashboard,DOWNLOAD,success,Pune,tablet,S362584,
L00000029,U00189,2026-06-22T14:12:29.350486+00:00,10.10.5.146,Transactions,DOWNLOAD,success,Mumbai,laptop,S645450,
L00000030,U00243,2026-07-24T14:33:09.350494+00:00,10.10.13.79,Dashboard,DOWNLOAD,success,Kolkata,desktop,S730383,
L00000031,U00383,2026-07-11T09:30:42.350502+00:00,10.10.8.71,Reports,DOWNLOAD,success,Bangalore,tablet,S765022,
L00000032,U00331,2026-08-12T02:02:08.350509+00:00,10.10.8.80,Reports,VIEW,success,Kolkata,laptop,S830673,
L00000033,U00157,2026-08-30T10:20:36.350517+00:00,10.10.17.160,Transactions,READ,success,Chennai,tablet,S143382,
L00000034,U00600,2026-08-26T13:52:36.350525+00:00,10.10.14.83,Dashboard,READ,success,Kolkata,tablet,S233510,
L00000035,U00273,2026-07-18T10:00:35.350533+00:00,10.10.13.164,Dashboard,READ,success,Delhi,desktop,S969515,
L00000036,U00672,2026-06-29T00:40:03.350541+00:00,10.10.18.85,Transactions,VIEW,success,Ahmedabad,tablet,S440123,
L00000037,U00297,2026-06-22T05:47:35.350549+00:00,10.10.14.58,Profile,DOWNLOAD,success,Bangalore,mobile,S332089,
L00000038,U00438,2026-07-02T21:41:20.350557+00:00,10.10.13.130,Profile,VIEW,success,Delhi,laptop,S730858,
L00000039,U00783,2026-07-25T16:08:41.350565+00:00,10.10.5.179,Transactions,DOWNLOAD,success,Pune,desktop,S888530,
L00000040,U00268,2026-07-25T06:01:57.350573+00:00,10.10.18.216,Transactions,VIEW,success,Ahmedabad,desktop,S839282,
