account_code,user_code,account_type,currency,status
A000001,U00001,standard,INR,active
A000002,U00001,standard,INR,active
A000003,U00002,standard,INR,active
A000004,U00003,premium,INR,active
A000005,U00004,premium,INR,active
A000006,U00004,premium,INR,active
A000007,U00005,standard,INR,active
A000008,U00006,standard,INR,active
A000009,U00006,premium,INR,active
A000010,U00007,premium,INR,active
A000011,U00008,standard,INR,active
A000012,U00009,standard,INR,active
A000013,U00009,standard,INR,active
A000014,U00010,premium,INR,active
A000015,U00011,premium,INR,active
A000016,U00012,premium,INR,active
A000017,U00012,standard,INR,active
A000018,U00013,standard,INR,active
A000019,U00014,premium,INR,active
A000020,U00014,premium,INR,active
A000021,U00015,standard,INR,active
A000022,U00016,premium,INR,active
A000023,U00017,standard,INR,active
A000024,U00018,standard,INR,active
A000025,U00019,premium,INR,active
A000026,U00020,standard,INR,active
A000027,U00020,standard,INR,active
A000028,U00021,premium,INR,active
A000029,U00022,premium,INR,active
A000030,U00023,premium,INR,active
A000031,U00024,premium,INR,active
A000032,U00024,premium,INR,active
A000033,U00025,premium,INR,active
A000034,U00026,standard,INR,active
A000035,U00027,premium,INR,active
A000036,U00027,standard,INR,active
A000037,U00028,premium,INR,active
A000038,U00028,standard,INR,active
A000039,U00029,premium,INR,active
A000040,U00030,premium,INR,active
A000041,U00031,standard,INR,active
A000042,U00032,standard,INR,active
A000043,U00033,standard,INR,active
A000044,U00034,premium,INR,active
A000045,U00034,premium,INR,active
A000046,U00035,premium,INR,active
A000047,U00036,premium,INR,active
A000048,U00037,standard,INR,active
A000049,U00037,standard,INR,active
A000050,U00038,premium,INR,active
A000051,U00039,premium,INR,active
A000052,U00039,premium,INR,active
A000053,U00040,premium,INR,active
A000054,U00041,premium,INR,active
A000055,U00042,premium,INR,active
A000056,U00043,standard,INR,active
A000057,U00044,premium,INR,active
A000058,U00045,premium,INR,active
A000059,U00046,standard,INR,active
A000060,U00047,premium,INR,active
A000061,U00047,premium,INR,active
A000062,U00048,premium,INR,active
A000063,U00049,standard,INR,active
A000064,U00050,premium,INR,active
A000065,U00050,premium,INR,active
A000066,U00051,premium,INR,active
A000067,U00052,premium,INR,active
A000068,U00053,premium,INR,active
A000069,U00054,premium,INR,active
A000070,U00054,premium,INR,active
A000071,U00055,standard,INR,active
A000072,U00056,premium,INR,active
A000073,U00057,standard,INR,active
A000074,U00058,standard,INR,active
A000075,U00059,standard,INR,active
A000076,U00060,standard,INR,active
A000077,U00061,premium,INR,active
A000078,U00062,premium,INR,active
A000079,U00063,standard,INR,active
A000080,U00064,standard,INR,active
A000081,U00065,premium,INR,active
A000082,U00065,premium,INR,active
A000083,U00066,premium,INR,active
A000084,U00067,premium,INR,active
A000085,U00068,standard,INR,active
A000086,U00069,standard,INR,active
A000087,U00070,premium,INR,active
A000088,U00071,standard,INR,active
A000089,U00072,premium,INR,active
A000090,U00072,standard,INR,active
A000091,U00073,standard,INR,active
A000092,U00074,premium,INR,active
A000093,U00075,premium,INR,active
A000094,U00076,premium,INR,active
A000095,U00077,standard,INR,active
A000096,U00077,premium,INR,active
A000097,U00078,standard,INR,active
A000098,U00079,premium,INR,active
A000099,U00080,premium,INR,active
A000100,U00081,standard,INR,active
A000101,U00082,premium,INR,active
A000102,U00083,standard,INR,active
A000103,U00084,premium,INR,active
A000104,U00085,premium,INR,active
A000105,U00085,standard,INR,active
A000106,U00086,standard,INR,active
A000107,U00086,standard,INR,active
A000108,U00087,premium,INR,active
A000109,U00088,standard,INR,active
A000110,U00089,premium,INR,active
A000111,U00090,standard,INR,active
A000112,U00090,premium,INR,active
A000113,U00091,premium,INR,active
A000114,U00092,standard,INR,active
A000115,U00093,premium,INR,active
A000116,U00094,standard,INR,active
A000117,U00095,premium,INR,active
A000118,U00096,standard,INR,active
A000119,U00097,premium,INR,active
A000120,U00097,standard,INR,active
A000121,U00098,premium,INR,active
A000122,U00099,standard,INR,active
A000123,U00100,premium,INR,active
A000124,U00101,premium,INR,active
A000125,U00102,premium,INR,active
A000126,U00103,standard,INR,active
A000127,U00103,standard,INR,active
A000128,U00104,premium,INR,active
A000129,U00105,standard,INR,active
A000130,U00106,standard,INR,active
A000131,U00107,standard,INR,active
A000132,U00108,premium,INR,active
A000133,U00109,standard,INR,active
A000134,U00109,standard,INR,active
A000135,U00110,standard,INR,active
A000136,U00110,premium,INR,active
A000137,U00111,premium,INR,active
A000138,U00112,premium,INR,active
A000139,U00113,standard,INR,active
A000140,U00113,premium,INR,active
A000141,U00114,standard,INR,active
A000142,U00115,premium,INR,active
A000143,U00115,standard,INR,active
A000144,U00116,standard,INR,active
A000145,U00117,premium,INR,active
A000146,U00118,standard,INR,active
A000147,U00119,standard,INR,active
A000148,U00120,standard,INR,active
A000149,U00120,premium,INR,active
