transaction_code,account_code,transaction_timestamp,amount,currency,merchant,category,location,payment_method,channel,status
T00000001,A000058,2026-06-13T17:59:28.365296+00:00,478.84,INR,Uber,Travel,Chennai,card,mobile,success
T00000002,A001185,2026-09-01T14:46:52.365370+00:00,1830.73,INR,Apollo Pharmacy,Healthcare,Ahmedabad,netbanking,branch,success
T00000003,A000856,2026-08-31T12:40:04.365392+00:00,498.44,INR,Reliance Digital,Shopping,Delhi,upi,online,success
T00000004,A000284,2026-06-24T14:31:36.365408+00:00,371.38,INR,Ola,Travel,Kolkata,netbanking,branch,success
T00000005,A000450,2026-06-09T22:18:02.365420+00:00,732.6,INR,Amazon,Shopping,Delhi,card,branch,success
T00000006,A001110,2026-09-01T13:01:07.365436+00:00,1597.25,INR,MakeMyTrip,Travel,Pune,netbanking,branch,success
T00000007,A000969,2026-09-03T09:47:45.365447+00:00,1302.41,INR,Amazon,Shopping,Kolkata,netbanking,branch,success
T00000008,A000566,2026-06-30T14:26:55.365457+00:00,7341.92,INR,Reliance Digital,Electronics,Hyderabad,upi,mobile,success
T00000009,A000459,2026-09-04T16:21:34.365470+00:00,512.35,INR,Apollo Pharmacy,Healthcare,Delhi,card,mobile,success
T00000010,A000772,2026-08-03T10:30:52.365481+00:00,308.77,INR,Airtel,Utilities,Chennai,netbanking,online,success
T00000011,A000675,2026-07-18T00:23:06.365492+00:00,2642.04,INR,MedPlus,Healthcare,Ahmedabad,upi,online,success
T00000012,A000201,2026-07-13T19:43:09.365503+00:00,661.04,INR,Electricity Board,Utilities,Pune,netbanking,mobile,success
T00000013,A000879,2026-06-25T16:09:13.365514+00:00,772.17,INR,BookMyShow,Entertainment,Ahmedabad,upi,branch,success
T00000014,A000719,2026-08-30T07:59:55.365526+00:00,2502.98,INR,Airtel,Utilities,Delhi,netbanking,online,success
T00000015,A000964,2026-08-25T01:49:53.365540+00:00,438.87,INR,Udemy,Education,Mumbai,netbanking,branch,success
T00000016,A000899,2026-08-27T06:01:52.365552+00:00,881.85,INR,MakeMyTrip,Travel,Chennai,card,mobile,success
T00000017,A001190,2026-08-06T10:50:49.365561+00:00,620.95,INR,Amazon,Shopping,Pune,card,branch,success
T00000018,A000506,2026-08-09T11:41:37.365572+00:00,2755.83,INR,Airtel,Utilities,Ahmedabad,upi,mobile,success
T00000019,A000015,2026-07-28T09:38:23.365582+00:00,192.64,INR,Electricity Board,Utilities,Kolkata,netbanking,online,success
T00000020,A000796,2026-06-16T18:03:55.365593+00:00,766.63,INR,Zomato,Food,Pune,upi,mobile,success
T00000021,A000463,2026-09-05T13:32:44.365606+00:00,1711.23,INR,Apollo Pharmacy,Healthcare,Bangalore,card,branch,success
T00000022,A000372,2026-06-27T04:59:00.365617+00:00,3225.46,INR,XYZ Electronics,Electronics,Kolkata,upi,mobile,success
T00000023,A000742,2026-06-15T08:22:42.365627+00:00,542.81,INR,Electricity Board,Utilities,Delhi,netbanking,mobile,success
T00000024,A000448,2026-08-01T23:59:05.365641+00:00,1874.53,INR,Jio,Utilities,Delhi,upi,online,success
T00000025,A000975,2026-07-25T02:46:43.365651+00:00,14891.13,INR,Coursera,Education,Kolkata,card,mobile,success
T00000026,A000087,2026-07-18T08:43:44.365663+00:00,1835.91,INR,BookMyShow,Entertainment,Delhi,upi,branch,success
T00000027,A000694,2026-08-20T00:30:35.365674+00:00,915.14,INR,Electricity Board,Utilities,Delhi,upi,online,success
T00000028,A000717,2026-06-26T01:37:32.365685+00:00,965.95,INR,Udemy,Education,Delhi,netbanking,branch,success
T00000029,A001194,2026-09-01T01:20:39.365693+00:00,2049.41,INR,Coursera,Education,Kolkata,upi,online,success
T00000030,A000297,2026-06-19T23:02:38.365703+00:00,2742.95,INR,Netflix,Entertainment,Delhi,card,branch,success
